Nombre,Descripción,Ranking,Turbobit,1Fitchier,Mega
Guardianes de la galaxia (2014),El forajido Peter Quill se convierte en el objetivo de un cazarrecompensas que pone un precio a su cabeza. En el camino se encuentra con Rocket  un mapache armado; Groot  un árbol; Gamora  hija de Thanos; y Drax el destructor. Deberán trabajar juntos para poder detener al villano  Ronan The Accuser  que quiere destruir la galaxia. Guardianes de la galaxia Vol. 2 Universo Marvel,8.1/10,https://turbobit.net/4f51xpfw3n18.html,https://1fichier.com/?2gmkz8lh9jkfu1g99z2o&af=2942360,https://mega.nz/#!QOoU2DxK!UzlASW4xiiQa_FRTSEh5CtwNhb0kUj5wwaAnna6gf9M
Dragon Ball Super: Broly (2018),Goku y Vegeta se encuentran con Broly  un poderoso guerrero Saiyajin  muy diferente a cualquier otro luchador que hayan enfrentado anteriormente.,8.0/10,https://turbobit.net/t08ykd9560hn.html,https://1fichier.com/?k6qdfoh8t2srpbguwfnh&af=2942360,https://mega.nz/#!1AsVBKoa!LzS-p_5U0voNHHBX_yVmsZhWJNKvyzceKGty45SPejg
Misión: Imposible - Repercusión (2018),Dos años después de que Ethan Hunt capturó a Solomon Lane  el restante del Sindicato se reagrupó en otra organización llamada los Apóstoles  quienes ahora están planeando conseguir tres núcleos de plutonio.,8.0/10,https://turbobit.net/hv5t7ui7hj30.html,https://1fichier.com/?d16lsr3l6y053a7hb6mw&af=2942360,https://mega.nz/#!E4IDmYTA!7wBqe5LrhomugYjYCBeVFNXebsP-Hq8VWI223QdL9sY
Los Increíbles 2 (2018),Bob Parr  el Sr. Increíble  se queda cuidando a los niños mientras Helen  Elastigirl  está salvando el mundo. Pero cuando surge una peligrosa amenaza  depende de la familia neutralizarla y salvar el día una vez más. Los increíbles 1,8.0/10,https://turbobit.net/ucg9tbe7kvlt.html,https://1fichier.com/?096geyzqzqin7rwndais&af=2942360,https://mega.nz/#!PbIVUYDa!cVnUHUNQm0UeYAUGBTnb2qWRfXaOUoaU3LeMKyrRJm4
Deadpool 2 (2018),El mercenario mutante Wade Wilson  conocido como Deadpool  reúne a un equipo de mutantes para proteger a un niño con habilidades sobrenaturales del brutal cyborg y viajero del tiempo  Cable. Deadpool 1,8.0/10,https://turbobit.net/gw3i56v71ybg.html,https://1fichier.com/?19iuz09fs8502rkx7igk&af=2942360,https://mega.nz/#!SbgVjALb!_SnKyMczxMBviOT1YlO1Ms4jE5bEhOCvKB875tiJYTA
Thor: Ragnarok (2017),Thor está atrapado en el otro lado del universo y se encuentra en una carrera contra el tiempo para regresar a Asgard y detener el Ragnarok: la destrucción de su tierra y el fin de la civilización asgardiana  todo a manos de una nueva y poderosa amenaza  la despiadada Hela. Universo Marvel,8.0/10,https://turbobit.net/3ig67uqh5x4s.html,https://1fichier.com/?psitn20f3ew6p63842oa&af=2942360,https://mega.nz/#!Bk8xnaDI!moIei4w3688Vcv_utTdXmUMoMwHeYaQyTrIk8B3243k
Baby: El aprendiz del crimen (2017),Baby es un joven conductor de escape que puede hacer cualquier movida cuando suena la canción correcta. Su talento es crítico para sobrevivir en este mundo  pero pronto se encuentra siendo parte de un asalto destinado a fracasar.,8.0/10,https://turbobit.net/ivubscshyhu5.html,https://1fichier.com/?v56md45r848u81s635b5&af=2942360,https://mega.nz/#!Lmhi1Y4R!dkoZJM1nk7bcRHHkeAwJCMqRBGJTC9W9yektx5wQ8T8
Guardianes de la Galaxia Vol. 2 (2017),Después de salvar Xandar  los Guardianes son reconocidos como héroes. Ahora deben luchar para mantenerse juntos mientras ayudan a su líder  Peter Quill  a descubrir la verdad de su verdadero linaje. Guardianes de la Galaxia (2014) Universo Marvel,8.0/10,https://turbobit.net/x8ljms0tck0b.html,https://1fichier.com/?oc53begsgl99yw6yyvrt&af=2942360,https://mega.nz/#!PqBwjCCJ!xwLxdRIggqsXvtoFgAMc5JXvA99jm7ytxkmC5c6cI9s
Rogue One: Una historia de Star Wars (2016),Todo parece perdido para los rebeldes cuando se enteran de la existencia de una super arma del Imperio  la Estrella de la Muerte. Entonces la Alianza Rebelde planea una movida arriesgada para robar los planos de esta nueva arma  preparando la épica saga que le sigue. Saga Star Wars,8.0/10,https://turbobit.net/9pwi5ao415ev.html,https://1fichier.com/?5r1215zu6r89sikr1c01&af=2942360,https://mega.nz/#!ze4C2QjQ!ihbPnf6xv-jv4RwHKrJkCh4p463GoA6xf4xdDPFT2qU
Los increíbles (2004),Una familia secreta de súper héroes intenta llevar una vida tranquila en los suburbios  pero cuando surge una gran amenaza se ven forzados a actuar para salvar el mundo. Los increíbles 2,8.0/10,https://turbobit.net/ixzijb5vshzr.html,https://1fichier.com/?iqzkb5eq5lm64uvqzrcj&af=2942360,https://mega.nz/#!6fQ1XCZA!N-VwRSZ8orhX04_mCt12MNSf96S99OgrzIOoAEfmYTY
X-Men: Días del futuro pasado (2014),Los X-Men originales unen fuerzas y envían a Wolverine al pasado en un intento desesperado de cambiar la historia y prevenir un evento que desemboca en la perdición tanto para humanos como para mutantes. Versión The Rogue Cut. X-men - X-men 2 - X-men 3 - X-men orígenes: Wolverine - X-men: Primera generación - Wolverine: Inmortal,8.0/10,https://turbobit.net/4mwwcsjjpyvl.html,https://1fichier.com/?jqnn7y5rfwrj0vnsc32q&af=2942360,https://mega.nz/#!fnwm2YSC!yZVfBRsHz2923th3vYb7n6Rol-OCb0K1UUTlmYOni_Y
John Wick 3: Parabellum (2019),John Wick escapa luego de matar a un miembro de la asociación internacional de asesinos y  con una recompensa de 14 millones de dólares por su cabeza  es el objetivo de sicarios en todas partes. Trilogía John Wick,7.9/10,https://turbobit.net/xq2v3ormx8cx.html,https://1fichier.com/?3jma73ajcam4yj6co2q7&af=2942360,https://mega.nz/#!TwNngAQa!R112h9756GQmZioU9LdxYoxgL4eq2PtsD7y1hyvyFfU
Solo los valientes (2017),Un grupo de bomberos de élite arriesga todo para proteger una ciudad de un feroz incendio forestal. Basada en la historia verídica de los Granite Mountain Hotshots.,7.9/10,https://turbobit.net/vji6r4n77ilf.html,https://1fichier.com/?1a8bcm6zmgy4bitzop98&af=2942360,https://mega.nz/#!1o8BXKaL!LqD5Oj1HBJnXiAyKrOiOFd-uimYG4clZHQnb3AJCo3Q
John Wick 2: Un nuevo día para matar (2017),Después de volver al submundo del crimen para pagar una deuda  John Wick descubre que se ha ofrecido una gran recompensa por su cabeza. Trilogía John Wick,7.9/10,https://turbobit.net/5t9iltnoxr1e.html,https://1fichier.com/?ay0h13h3v6ryfsr77yba&af=2942360,https://mega.nz/#!WbBABKwZ!fAv_L31phj_j5c-ZzeWU3EC3bbwxn1z-bBzTAbQwp98
Spider-Man: Lejos de casa (2019),Luego de los eventos de Avengers Endgame  Peter Parker viaja con sus compañeros a Europa donde debe prepararse para enfrentar nuevas amenazas en un mundo que ha cambiado para siempre. Universo Marvel,7.8/10,https://turbobit.net/uwz4viw6urvi.html,https://1fichier.com/?8gvq1efda4028819q2cq&af=2942360,https://mega.nz/#!bhtTwQYR!02jJ9VxizoeGgW7_Woh_z3pXQrd1YjltfY1wYiZUO2s
My Hero Academia: Two Heroes (2018),All Might y Deku aceptan una invitación para visitar una ciudad flotante llamada I Island donde conocen a una chica y pelean contra un villano que tiene a toda la isla de rehén.,7.8/10,https://turbobit.net/8cjqcv65wunp.html,https://1fichier.com/?nrhxytpdbw5vjlhs2dx7&af=2942360,https://mega.nz/#!TXgEzaxI!zGbTuKzQzxLRbGyTKiROhx1rB6kk6irFUNMkzUhYMDU
Spider-Man: De regreso a casa (2017),Peter Parker trata de equilibrar su vida como un estudiante regular de secundaria con su alter ego  el superhéroe Spider-Man. Debe enfrentar a una nueva amenaza que ronda los cielos de la ciudad de Nueva York. Películas de Spider Man Universo Marvel,7.8/10,https://turbobit.net/oppxdqj2ihig.html,https://1fichier.com/?t1o36sx9fkhqhk1x3l8m&af=2942360,https://mega.nz/#!jYoxnSLA!O4QndAi2BeMC3uoEapTsfpL__Z-iYcKsA_pDaqXJRU0
Mujer Maravilla (2017),Diana  princesa y guerrera amazona criada en una isla  se entera de un gran conflicto en el mundo exterior cuando un piloto se estrella en la costa. Entonces ella deja su hogar para luchar en la guerra  descubriendo sus poderes y su destino. Universo DC,7.8/10,https://turbobit.net/ne0yxqrd9lnj.html,https://1fichier.com/?bfm454s5askxn3ndxwnl&af=2942360,https://mega.nz/#!8aIUwDDI!4njlAqe699DAjQFDsKDaJVKOWHdhrhcnu1NEN4_Szx0
Doctor Strange: Hechicero Supremo (2016),Un ex neurocirujano  el doctor Stephen Strange  se embarca en un viaje de sanación pero termina siendo atraído hacia el mundo de las artes místicas. Universo Marvel,7.8/10,https://turbobit.net/kszg0lnce8rz.html,https://1fichier.com/?ea2cfmsuok5ov61il3v0&af=2942360,https://mega.nz/#!nrAXQabR!b0WzPyz4KmCIwbXXVB6NmZdAAEzzDl_xcg8k26OXWeo
Capitán América y el Soldado del Invierno (2014),Steve Rogers  alias Capitán América  vive en Washington intentando adaptarse al mundo moderno. Pero un colega de SHIELD es atacado y se ve envuelto en una conspiración que se está gestando desde la era soviética. Debe resolver el misterio mientras se enfrenta a un enemigo inesperado: el Soldado del Invierno. Universo Marvel,7.8/10,https://turbobit.net/e3w3qeiddgsf.html,https://1fichier.com/?r98df9vdu1miu2qx8jus&af=2942360,https://mega.nz/#!6hliXKgR!8emWapxQYFRkcPUpafYBqU9FMKSOl5mL5hIjNXMYuNQ
Depredador (1987),Un equipo de fuerzas especiales tiene una misión de rescate de rehenes en una jungla en Centroamérica. Pero pronto se encuentran siendo cazados por un guerrero extraterrestre tecnológicamente más avanzado. Serie Depredador,7.8/10,https://turbobit.net/3z452zgi3slk.html,https://1fichier.com/?8l0ocw0bjeky7qcz0p3k&af=2942360,https://mega.nz/#!EzpGjLxY!xeH_xMARavERlhCJGAP2IZL_xuhGL9t58G0FfTNn5LA
Invasor Zim y el poder del Florpus (2019),Zim descubre que sus todopoderosos líderes nunca tuvieron intenciones de venir a la Tierra y pierde la confianza en sí mismo por primera vez en su vida  lo cual es la oportunidad que su enemigo humano  Dib  estaba esperando.,7.7/10,https://turbobit.net/c3bvm2if9ilf.html,https://1fichier.com/?irsd0o3nlnp5s7sz4dnm&af=2942360,https://mega.nz/#!wkZxAa5J!i1pSkxy_l1-91gpEtVCQk4Hkeff4XWoHd_Ff__IlNyY
Cómo entrenar a tu dragón 3 (2019),Cuando Hipo descubre que Chimuelo no es el último de su especie  se propone encontrar el Mundo Escondido  un utópico lugar secreto de dragones antes de que un tirano llamado Grimmel llegue primero. Películas de Cómo entrenar a tu dragón,7.7/10,https://turbobit.net/kgdga6tbdxsi.html,https://1fichier.com/?wu4phjg2p9g158wss9ek&af=2942360,https://mega.nz/#!mzYDhCwb!_UeZ334Uf5bCB4u3rrRjaa9umILHKfESorFtO9YXAWY
Upgrade (2018),En un futuro cercano la tecnología controla casi todos los aspectos de la vida. Pero cuando la vida de Grey  quien es averso a la tecnología  cambia por completo  su única esperanza de vengarse es el implante de un chip experimental llamado Stem.,7.7/10,https://turbobit.net/9mel43smwdrc.html,https://1fichier.com/?6o92njkb7bcvd905jjm3&af=2942360,https://mega.nz/#!EfAhDI6L!0ZU_F5joFnX3I6czD6BT39kJLzftig-en4PuhZTHdU8
Ready Player One: Comienza el Juego (2018),"Cuando el creador de un mundo de realidad virtual llamado Oasis muere  lanza un video en el cual desafía a todos los jugadores a encontrar su ""Easter Egg""  el cual dará su fortuna a quien lo encuentre.",7.7/10,https://turbobit.net/rosv68dejrs1.html,https://1fichier.com/?6ptjxbmcxszxsaybp63t&af=2942360,https://mega.nz/#!W7pA2aJD!QGENDYE9sowfGjBeDOUfGPErXInv8-OyoXZlO8eMSO0
Pantera Negra (2018),T'Challa  el rey de Wakanda  sube al trono en la aislada y tecnológicamente avanzada nación africana  pero es desafiado por un forastero con sed de venganza debido a un error cometido por el padre de T'Challa. Universo Marvel,7.7/10,https://turbobit.net/htibiswct5bv.html,https://1fichier.com/?tcp45qyuwplylvneso3w&af=2942360,https://mega.nz/#!3QdGWAaT!2FOW4opEg8_x4F2FZnLOXuWY5I3YyiRlTMzUSeRcIU4
El planeta de los simios: La guerra (2017),Después de que los simios sufrieran pérdidas inimaginables debido a un conflicto con los humanos  Caesar lucha con sus instintos más oscuros y comienza su propia misión para vengar a su especie. Películas de El planeta de los simios,7.7/10,https://turbobit.net/nczuzbufz8u0.html,https://1fichier.com/?ubqtabokxizp7af0ueez&af=2942360,https://mega.nz/#!yiImWKgA!vLm9W10YNsUC5rQa-sSifZGDglCjDVRm9zLMjL6rfrs
Okja (2017),Durante diez años la joven Mija ha cuidado de un gigantesco animal llamado Okja. Pero ahora debe arriesgar todo para evitar que una poderosa compañía multinacional  la Corporación Mirando  se lleve a su mejor amigo.,7.7/10,https://turbobit.net/tg1xmi00ljy2.html,https://1fichier.com/?6lwvjh5fr5wzwnq7o4ij&af=2942360,https://mega.nz/#!j7gGDYaI!IiV8cT0kpugemYE4KV0S7dnMEzgmBxLPRuE8AbxKXxg
El asedio de Jadotville (2016),En 1961 la ONU envía al comandante irlandés Pat Quinlan y sus tropas al pueblo minero de Jadotville  en el Congo  para proteger a sus habitantes en el inicio de una guerra civil. Aquí las tropas deben resistir los ataques de mercenarios franceses y belgas.,7.6/10,https://turbobit.net/4i2dq0hks7xk.html,https://1fichier.com/?fv36ittyw4cwee2e47j0&af=2942360,https://mega.nz/#!LqQzzKIZ!IinLR6FhqksU6gSyZcyNrlRkLxBCxNJf332Ipl3swAk
Dos tipos peligrosos (2016),"Jackson Healy es un ""fixer"" que arregla todo con los puños. Holland March es un policía que se convirtió en un investigador privado alcohólico. Ambos están investigando el aparente suicidio de una estrella porno en Los Angeles en los años 70.",7.6/10,https://turbobit.net/jcymqxf59bfn.html,https://1fichier.com/?tg76ph32edqfzfa3vsk7&af=2942360,https://mega.nz/#!gmJTgByB!8Suh99PNs6Ojzc7F0wXd7xRkXozKSbi36DZ5tmt5r1c
El planeta de los simios: Confrontación (2014),Diez años luego de una devastadora enfermedad pandémica  un grupo de simios evolucionados se encuentra con otro grupo de seres humanos que sobrevivieron. Ahora ambos bandos se enfrentarán para ver cuál será la especie dominante de la Tierra. Películas de El planeta de los simios,7.6/10,https://turbobit.net/clguuinlyjo4.html,https://1fichier.com/?r8k5g5l0rpuq5yoedjj4&af=2942360,https://mega.nz/#!WvgGiQLC!NP0xLbKsZoGyeq879n69rAKkqpbvrIjBoXUwXbR5d3A
El Planeta de los Simios: (R)Evolución (2011),Un científico trabaja en una cura para el Alzheimer que está siendo probada en monos. Una de estas criaturas es César  cuya inteligencia evoluciona rápidamente y al que el protagonista lleva a su hogar para protegerlo de la crueldad de algunos de sus colegas. Pero algo sale mal... Películas de El planeta de los simios,7.6/10,https://turbobit.net/mva4350vhgss.html,https://1fichier.com/?hy48fcqkfo0czzmof49g&af=2942360,https://mega.nz/#!cehBnLhA!Lto3HzrNsQZbXbr5lzTEqlbaxUNdyst41rpYs6WeszU
Battle Angel: La última guerrera (2019),Alita es una cyborg creada durante una era de desesperación que fue desactivada y ahora es revivida  pero no logra recordar nada de su anterior vida y se embarca en una misión para averiguar quién es.,7.5/10,https://turbobit.net/jx3iy0y5v351.html,https://1fichier.com/?zfx7pqwe5reoujdab2rv&af=2942360,https://mega.nz/#!TyBkGQaR!lXnPps44-EPHi1ssC3qFTpIddq85olaZdDfmRIwz61s
La muerte de Superman (2018),Después de que un asteroide cargando una fuerza incontrolable se estrella en el océano  Superman libra una batalla en contra de un invencible enemigo conocido como Doomsday.,7.5/10,https://turbobit.net/dtnbfsmoajum.html,https://1fichier.com/?f9s52yrm7wpnc37w2gwj&af=2942360,https://mega.nz/#!T3YkQA7I!3Kl2r2yb6sMTCdDsuwBbewmClHeTWOMoAMLaysMTFMk
LEGO Batman: La película (2017),Hay grandes cambios en curso en Ciudad Gótica y Bruce Wayne debe lidiar con los villanos de siempre  en especial Joker  que quieren conquistar la ciudad. Todo mientras se entera que accidentalmente adoptó a un huérfano adolescente que quiere convertirse en su compañero.,7.5/10,https://turbobit.net/jp4y8b222onp.html,https://1fichier.com/?k0t2vrguqjqodzi3r694&af=2942360,https://mega.nz/#!iyAFBYKA!Eab71giQ5uTfCOTU1M3dT1BVnjlPO8ttqEmZVMAdqd4
Estación Zombie (2016),Un tren rápido va de Seúl a Busan. Durante el viaje  un virus zombie aparece en Corea del Sur y ahora los pasajeros tienen que luchar por sus vidas contra los zombies.,7.5/10,https://turbobit.net/9eo9umen7o7q.html,https://1fichier.com/?5pifcm507nflx4ghcci6&af=2942360,https://mega.nz/#!0vBHha6A!5OiGFxIg3nzLkLg63zi6N0O1kkKPkfIPxrqAUR0ci4w
El contador (2016),Christian Wolff es un sabio de las matemáticas. Por detrás de la cubierta de una pequeña oficina de contabilidad  él trabaja como contador freelance para algunas de las organizaciones criminales más peligrosas del mundo. Con un nuevo cliente y el Departamento de Tesoro investigándolo  el número de cuerpos comienza a subir.,7.5/10,https://turbobit.net/tnsff1bxdxo2.html,https://1fichier.com/?jb1cv1idudy6jpw6ydhg&af=2942360,https://mega.nz/#!MHYiySoJ!cH-dMk6TKigEa3tmg7aTV2bV8Vip9GDjLJCgL8OPQto
13 Horas: Los soldados secretos de Bengasi (2016),Cuando un embajador americano necesita protección debido a unos ataques a un complejo de Estados Unidos en Libia por parte de un grupo de milicianos islámicos  un equipo de seis miembros de Operaciones Especiales es enviado para resguardar y rescatar a los sobrevivientes.,7.5/10,https://turbobit.net/7axa342hlobt.html,https://1fichier.com/?90atizbvd4vk3g8h03ms&af=2942360,https://mega.nz/#!sV0SXCDL!C4knRr9ZAUrpEom7JeUj7FetburVLO6hh6jPkfzFmiI
Star Wars: Los últimos Jedi (2017),Rey mejora sus recién descubiertas habilidades con la guía de Luke Skywalker  quien está un poco intranquilo por la fuerza de sus poderes. Mientras tanto  la Resistencia se prepara para la batalla contra la Primera Orden. Saga Star Wars,7.4/10,https://turbobit.net/ob6vrg76n9f1.html,https://1fichier.com/?hrfp7zsvtziygt49yhb0&af=2942360,https://mega.nz/#!j9MHwIpB!F712sQIgkbrKn1YdW3M5yeSDG5g2pGqtP6O5x-xy4AU
Los Jóvenes Titanes: El contrato de Judas (2017),Tara Markov es una chica con poderes sobre la tierra y la piedra  también es algo más de lo que aparenta. ¿La nueva Joven Titán es una aliada o una amenaza? ¿Cuáles son los planes del mercenario Deathstroke?,7.4/10,https://turbobit.net/xyez1k9g0j0u.html,https://1fichier.com/?l3f089gxe9fc0km2beeq&af=2942360,https://mega.nz/#!ZP5mhZ4A!saf3XX-fCbBAf2GKeXbPFq6CrwM1U3_H7u2HCMfvzus
