Nombre,Descripción,Ranking,Turbobit,1Fitchier,Mega
Nosotros (2019),Una vacación familiar en la playa se convierte en una pesadilla cuando la familia Wilson comienza a ser aterrorizada por personas que son idénticas a ellos.,7.1/10,https://turbobit.net/iys2lejdveqt.html,https://1fichier.com/?i5t7omu28hc7wys5vno5&af=2942360,https://mega.nz/#!maA23AhD!zlqe3apG9EuQgbXhhB8YHujynidto8AXvMPYaUPOkXI
Yesterday (2019),Un músico con aspiraciones se da cuenta que es la única persona en la Tierra que recuerda a Los Beatles después de despertarse en una línea de tiempo alterna en la cual nunca existieron.,7.0/10,https://turbobit.net/abo87jlk3og6.html,https://1fichier.com/?cdttn32xehwccg73aedz&af=2942360,https://mega.nz/#!5rQQnaYI!E5LHvRBRSrQwlJhFUczhHbbvrVQOqd_T7DCZUIqAqhs
Suspiria: El maligno (2018),Una oscuridad se esconde en medio de una reconocida academia de danza  una oscuridad que afectará a algunos miembros. Algunos caerán frente a la pesadilla. Otros finalmente van a despertar.,6.8/10,https://turbobit.net/i6qj4xob5a2g.html,https://1fichier.com/?ec2iigtbra0fml18s1kd&af=2942360,https://mega.nz/#!QFsnECqb!xg3G1TtorWK_5AuW6syfnwo2pCF32NQKRodAQz_oIoU
Pokémon: Detective Pikachu (2019),Cuando el detective Harry Goodman desaparece misteriosamente  su hijo Tim de 21 años quiere averiguar qué pasó y se topa con un Pikachu inteligente que puede hablar y que le ofrece su ayuda.,6.8/10,https://turbobit.net/5k33ri4395n8.html,https://1fichier.com/?u5agi0zwvj7k91rgkred&af=2942360,https://mega.nz/#!TvIUGYyZ!xAh84aUV9QnwBdaFtPobXXxWQda4XPaZaxFmwGevaE8
Dumbo (2019),Un joven elefante cuyas enormes orejas le permiten volar  ayuda a salvar a un circo en problemas. Pero cuando el circo planea nuevos proyectos  Dumbo y sus amigos descubren oscuros secretos detrás de bambalinas.,6.6/10,https://turbobit.net/o8ir1kkvs02i.html,https://1fichier.com/?b8ijk7s4ffncztgrsih5&af=2942360,https://mega.nz/#!oN8TjAqR!Rhd1BwPK4f0S5dsAL_hWxt8AvGcEmf3AXSVc3DrZF04
La vida secreta de tus mascotas 2 (2019),Max enfrenta grandes cambios ahora que su dueña Katie está casada y tiene un niño. En un viaje familiar al campo  Max conoce al perro de granja Rooster e intenta superar sus miedos.,6.5/10,https://turbobit.net/xt8c0z4smydl.html,https://1fichier.com/?uwvl2myg7iueamjd2pjx&af=2942360,https://mega.nz/#!pbBXxCYY!786IXKYjkNInp9Cf3gYr3uZmosc7l-kRR6dxQ_4q18M
Godzilla II: El rey de los monstruos (2019),La agencia Monarch se enfrenta a una serie de monstruos gigantescos  incluyendo al poderoso Godzilla  quien lucha con Mothra  Rodan  y su némesis  King Ghidorah de tres cabezas.,6.4/10,https://turbobit.net/2we172xxsznm.html,https://1fichier.com/?7bnnz9uoj5ijguku0c5h&af=2942360,https://mega.nz/#!MAVDlSLY!4nZTPZfLyO6yFREQJiCKtVWMH2ruLHXq1gjcJaaTzv0
Shaft (2019),John Shaft Jr.  un especialista en ciber seguridad graduado del MIT  pide ayuda a su padre para descubrir la verdad por detrás de la muerte prematura de su amigo.,6.3/10,https://turbobit.net/q68rnjsy76d4.html,https://1fichier.com/?ohyz6jeaphfxzh33i2fy&af=2942360,https://mega.nz/#!3EN0TIJB!VJrFxMUtYEowrIQtqJhnWoxiqXsFYMq075KzSBmbeNc
Venganza (2019),Nels  conductor de quitanieves en un pueblo en las Rocallosas  debe abandonar su tranquila vida en la montaña para obtener su venganza contra los narcotraficantes que mataron a su hijo.,6.3/10,https://turbobit.net/atsh3n1xzbdk.html,https://1fichier.com/?cpaa8cv2os60yxkcqaht&af=2942360,https://mega.nz/#!WvxD3SwK!7H1dFwVapRylZSESG8KlF89oLKtUVuVTCw0SFUSTbus
Misterio a bordo (2019),Un policía de Nueva York y su esposa viajan a Europa para reavivar la chispa de su matrimonio  pero acaban siendo incriminados y perseguidos por la ley por la muerte de un viejo multimillonario.,6.2/10,https://turbobit.net/pwp2phz7870w.html,https://1fichier.com/?ueivwpzurk1z95rivc3o&af=2942360,https://mega.nz/#!juRRiYLJ!d7lodDXmSwBxga70Qg91x-KlW190-MCsGzCV4V-ZOLM
Brightburn: Hijo de la oscuridad (2019),¿Y si un niño de otro mundo se estrellara en la Tierra  pero en vez de convertirse en un héroe para la humanidad  termine siendo algo mucho más siniestro?,6.2/10,https://turbobit.net/aaavkp3phq7u.html,https://1fichier.com/?z8x3mk96gu51nzfkhhp0&af=2942360,https://mega.nz/#!Gu5hUQrJ!XVZrp7xv-uYq8G3b6uluSuJPClSXc8PxKp49_1Yg6zQ
Prospect (2018),Una adolescente con su padre viajan a una remota luna buscando riquezas. Consiguieron un contrato para minar unas elusivas gemas ocultas en las profundidades su bosque tóxico  pero hay otros recorriendo el lugar  lo que complica el trabajo.,6.1/10,https://turbobit.net/5mumz5aaxken.html,https://1fichier.com/?oopjz3mi698mjiyg10h6&af=2942360,https://mega.nz/#!mc8mWQTT!n_pwu3buyJ2IR6BaIY8vXoF447rlvPt35BACkXrbrRg
Cementerio maldito (2019),El Dr. Louis Creed y su esposa  Rachel  se mudan de Boston a un área rural con sus dos pequeños hijos. La pareja pronto encuentra un misterioso cementerio escondido en las profundidades del bosque cerca de su nuevo hogar.,6.0/10,https://turbobit.net/kqngg0tvqklf.html,https://1fichier.com/?z9nj82hkljzr6r7ktjgy&af=2942360,https://mega.nz/#!rjIjmACR!v6CcHqZvWN2IkU9tHqYYFQOcPgko-FnzHlboq51zoMs
Annabelle 3: Viene a casa (2019),Mientras están cuidando a la hija de Ed y Lorraine Warren  una adolescente y su amiga despiertan inadvertidamente al malvado espíritu atrapado en una muñeca.,6.0/10,https://turbobit.net/0bzof3ixmget.html,https://1fichier.com/?37ipr1x15mdumctnkm9g&af=2942360,https://mega.nz/#!2kN2ySBD!HZcemNu7RzUMA5X83BJpNcRA_hyaKbuDaj9OFI1LmxQ
Los muertos no mueren (2019),El pacífico pueblo de Centerville se encuentra batallando contra una horda de zombies cuando los muertos comienzan a levantarse de sus tumbas.,5.9/10,https://turbobit.net/7m6nz18ejv2g.html,https://1fichier.com/?nj4v9dbp3o202gvrg2ne&af=2942360,https://mega.nz/#!ww5SmYxC!ivrjQ09wEZypvmPb58iWH1U-kCNMUW5GS5vCSQmeYQ8
X-Men: Dark Phoenix (2019),Jean Grey comienza a desarrollar increíbles poderes que la corrompen y la convierten en Dark Phoenix. Ahora los X-Men deben decidir si la vida de un miembro del equipo vale más que toda la humanidad. Serie X-Men,5.9/10,https://turbobit.net/ntumw79vxkzc.html,https://1fichier.com/?vos8h5eav5o1ie3nytno&af=2942360,https://mega.nz/#!rKJ3waLY!QPTOPfVkiJDjwc5eoHVsAJ1l-nMElyk_0zm-jLUf9mE
Un amor inquebrantable (2019),John  un adolescente de 14 años  se ahoga en un lago  y su fiel madre ora para que él vuelva del borde de la muerte y sea sanado. Basada en una historia real.,5.7/10,https://turbobit.net/s53jcarc5jco.html,https://1fichier.com/?j1ub8z7qqm4d5z5e12cs&af=2942360,https://mega.nz/#!S8tzSKQY!3BperB4vQKileKenVzZ9tKNWFE6kWv0SHblRR7f6PUw
Hombres de negro: Internacional (2019),Los Hombres de Negro siempre han protegido a la Tierra de la escoria del universo. En esta nueva aventura  enfrentan su mayor amenaza hasta ahora: un infiltrado en su organización.,5.6/10,https://turbobit.net/l93elvrcn6zh.html,https://1fichier.com/?09aa1yvvy36gg1tizbhl&af=2942360,https://mega.nz/#!ZDZjkQrL!K6VmJQscwJbtx5QUGseJlCjYapQQNIMUlucki3PNf9g
Miss Bala: Sin piedad (2019),Gloria descubre un poder que nunca creyó poseer cuando es arrastrada al peligroso mundo del crimen fronterizo. Para sobrevivir requerirá usar toda su astucia  ingenio y fuerza.,5.3/10,https://turbobit.net/qoux7uaene37.html,https://1fichier.com/?6nimbo6vk6slmx2ztk74&af=2942360,https://mega.nz/#!1JdnXCwa!icwMZbY_9eTau4E_bIKH072YH23yfhuPUPkZS3LXOQM
Hellboy (2019),Atrapado entre los mundos de lo sobrenatural y el humano  Hellboy se enfrenta a una antigua hechicera que busca desesperadamente obtener su venganza. Basada en las novelas gráficas de Mike Mignola.,5.3/10,https://turbobit.net/iypwx8ewjd7v.html,https://1fichier.com/?6qqolzs6yk761n5inoqv&af=2942360,https://mega.nz/#!q90hgazA!ImwhLjzpSC-YUAdhNSy5SuNOlxiHgvEh3g21xFUAq7Y
